iso,units,ave.bio,dmy.x
afg,kt,0.259172823,1
ben,kt,0.394588066,1
bgd,kt,0.187593382,1
blz,kt,0.096514099,1
chn,kt,0.715082293,1
cub,kt,0.017029975,1
dma,kt,0.124848235,1
eri,kt,0.250885908,1
eth,kt,0.833523901,1
fji,kt,0.325386601,1
gha,kt,0.257859491,1
hti,kt,0.53067305,1
idn,kt,0.196818013,1
khm,kt,0.452882504,1
kir,kt,0.215017023,1
lbn,kt,0.074999284,1
lby,kt,0.097724311,1
mdg,kt,0.308592141,1
mng,kt,0.734285912,1
ner,kt,0.318536398,1
nga,kt,0.325259543,1
phl,kt,0.290707592,1
png,kt,0.221423356,1
sen,kt,0.266359444,1
slb,kt,0.223382314,1
ssd,kt,0.427371929,1
tgo,kt,0.440204529,1
tls,kt,0.218948758,1
uga,kt,0.614600813,1
vut,kt,0.238393353,1
wsm,kt,0.283036914,1
yem,kt,0.009696114,1
zwe,kt,0.648255394,1
